ABSFID,ABSLID,CURINTL,LNSECLN,MPURL,YRRPMTL,AMTOLN,WKREPLN,AMTBRLN,IMPASTA,IMPFIAC,IMPNOST,IMPNSTA,IMPSTAT,SIHLNWT,WLN0101,WLN0102,WLN0103,WLN0104,WLN0105,WLN0106,WLN0107,WLN0108,WLN0109,WLN0110,WLN0111,WLN0112,WLN0113,WLN0114,WLN0115,WLN0116,WLN0117,WLN0118,WLN0119,WLN0120,WLN0121,WLN0122,WLN0123,WLN0124,WLN0125,WLN0126,WLN0127,WLN0128,WLN0129,WLN0130,WLN0131,WLN0132,WLN0133,WLN0134,WLN0135,WLN0136,WLN0137,WLN0138,WLN0139,WLN0140,WLN0141,WLN0142,WLN0143,WLN0144,WLN0145,WLN0146,WLN0147,WLN0148,WLN0149,WLN0150,WLN0151,WLN0152,WLN0153,WLN0154,WLN0155,WLN0156,WLN0157,WLN0158,WLN0159,WLN0160,LEVELLN,ABSHID,ABSIID,ABSPID
00,1,0,3,5,0,17000,0,22000,0,0,0,0,0,709.74647265,725.55322266,736.05517578,730.86572266,718.71484375,717.25439453,717.33789063,715.78955078,718.29492188,732.52050781,707.68164063,742.85400391,713.375,730.56787109,735.48925781,708.26220703,719.88964844,717.98730469,722.27880859,723.99951172,725.10253906,713.45263672,726.38525391,713.80810547,710.55029297,719.14257813,711.62646484,730.38574219,718.86425781,725.90722656,724.76904297,716.71582031,731.38378906,711.47265625,710.92675781,718.37939453,763.03271484,710.49707031,714.51904297,724.06347656,728.20019531,728.55566406,707.45996094,716.21875,736.33349609,710.32373047,725.69335938,731.43212891,715.90966797,731.43017578,719.29150391,719.24902344,741.44677734,739.3203125,714.89648438,714.91699219,719.83251953,715.0078125,719.140625,0,706.83496094,6,SIH13E8999967,0,00
00,2,0,3,7,0,5500,0,6000,0,0,0,0,0,709.74647265,725.55322266,736.05517578,730.86572266,718.71484375,717.25439453,717.33789063,715.78955078,718.29492188,732.52050781,707.68164063,742.85400391,713.375,730.56787109,735.48925781,708.26220703,719.88964844,717.98730469,722.27880859,723.99951172,725.10253906,713.45263672,726.38525391,713.80810547,710.55029297,719.14257813,711.62646484,730.38574219,718.86425781,725.90722656,724.76904297,716.71582031,731.38378906,711.47265625,710.92675781,718.37939453,763.03271484,710.49707031,714.51904297,724.06347656,728.20019531,728.55566406,707.45996094,716.21875,736.33349609,710.32373047,725.69335938,731.43212891,715.90966797,731.43017578,719.29150391,719.24902344,741.44677734,739.3203125,714.89648438,714.91699219,719.83251953,715.0078125,719.140625,0,706.83496094,6,SIH13E8999967,0,00
00,1,5.28,1,1,1992,16675,690,40000,0,1,0,0,0,1261.5973193,1276.7207031,1302.8232422,1251.8730469,1257.0634766,1306.1054688,1290.9912109,1283.109375,1277.7216797,1312.6425781,1274.3017578,1289.1435547,1293.1025391,1327.8173828,1261.6708984,1302.4179688,1307.0664063,1282.2724609,1288.9785156,1284.2666016,1245.5498047,1289.7363281,1282.6621094,1268.5205078,1306.7089844,1244.6425781,1276.1542969,1233.3876953,1293.7587891,1318.7421875,1273.28125,1257.6777344,1258.8183594,1254.4335938,1293.8808594,1319.0117188,1289.0507813,1235.796875,1275.9453125,1257.4414063,1305.8408203,1298.8476563,1283.90625,1298.7900391,1357.1347656,1260.2675781,1278.0253906,0,1232.9091797,1290.8701172,1278.0175781,1329.6855469,1295.09375,1307.0830078,1287.2412109,1302.2255859,1304.5683594,1263.7451172,1292.7060547,1275.5615234,1234.2646484,6,SIH13E8999965,0,00
00,1,5.89,1,1,2008,200000,600,275000,0,0,0,0,0,799.56087641,795.53466797,802.55957031,809.84960938,792.93701172,799.30371094,823.9140625,804.07275391,830.82128906,815.58642578,800.84277344,796.11230469,842.44824219,790.82763672,806.00878906,790.67724609,799.91845703,814.22900391,823.20507813,848.28222656,820.38720703,843.50146484,825.51025391,810.93408203,798.93505859,805.01074219,796.38085938,829.61572266,0,841.91748047,814.83935547,788.27685547,804.62255859,862.67626953,813.44580078,797.62841797,785.93652344,838.33105469,805.5625,817.97998047,823.40966797,825.35449219,809.25585938,803.76220703,821.95458984,836.70654297,799.67431641,818.2265625,829.66113281,807.91113281,818.92822266,795.50488281,831.99658203,807.3828125,801.49511719,802.13867188,822.6015625,814.17871094,788.29492188,808.39892578,799.65136719,6,SIH13E8999963,0,00
00,1,6.2,1,2,2011,360000,750,400000,0,0,0,0,0,215.03779356,219.85192871,217.75109863,216.49597168,225.84387207,216.90466309,223.73901367,215.8326416,222.55932617,214.58520508,224.91601563,218.89953613,215.7767334,221.15563965,216.78991699,221.76318359,216.15161133,215.07214355,215.91235352,218.22131348,212.47351074,216.79907227,219.43640137,215.00476074,221.01342773,214.3145752,216.90905762,224.55773926,215.97827148,222.82751465,215.8614502,213.33935547,221.28149414,222.54748535,219.15539551,214.36132813,222.11462402,220.27587891,219.42895508,218.72937012,217.5333252,220.31359863,220.43041992,217.26611328,216.78466797,212.4564209,219.80175781,219.57348633,215.51757813,238.01013184,216.90808105,230.50817871,216.56994629,211.50976563,216.7130127,217.83544922,215.42565918,0,222.66906738,221.28112793,207.99658203,6,SIH13E8999959,0,00
00,2,0,2,2,0,200000,0,240000,0,0,0,0,0,215.03779356,219.85192871,217.75109863,216.49597168,225.84387207,216.90466309,223.73901367,215.8326416,222.55932617,214.58520508,224.91601563,218.89953613,215.7767334,221.15563965,216.78991699,221.76318359,216.15161133,215.07214355,215.91235352,218.22131348,212.47351074,216.79907227,219.43640137,215.00476074,221.01342773,214.3145752,216.90905762,224.55773926,215.97827148,222.82751465,215.8614502,213.33935547,221.28149414,222.54748535,219.15539551,214.36132813,222.11462402,220.27587891,219.42895508,218.72937012,217.5333252,220.31359863,220.43041992,217.26611328,216.78466797,212.4564209,219.80175781,219.57348633,215.51757813,238.01013184,216.90808105,230.50817871,216.56994629,211.50976563,216.7130127,217.83544922,215.42565918,0,222.66906738,221.28112793,207.99658203,6,SIH13E8999959,0,00
00,3,0,2,5,0,32000,0,45000,0,0,0,0,0,215.03779356,219.85192871,217.75109863,216.49597168,225.84387207,216.90466309,223.73901367,215.8326416,222.55932617,214.58520508,224.91601563,218.89953613,215.7767334,221.15563965,216.78991699,221.76318359,216.15161133,215.07214355,215.91235352,218.22131348,212.47351074,216.79907227,219.43640137,215.00476074,221.01342773,214.3145752,216.90905762,224.55773926,215.97827148,222.82751465,215.8614502,213.33935547,221.28149414,222.54748535,219.15539551,214.36132813,222.11462402,220.27587891,219.42895508,218.72937012,217.5333252,220.31359863,220.43041992,217.26611328,216.78466797,212.4564209,219.80175781,219.57348633,215.51757813,238.01013184,216.90808105,230.50817871,216.56994629,211.50976563,216.7130127,217.83544922,215.42565918,0,222.66906738,221.28112793,207.99658203,6,SIH13E8999959,0,00
00,1,5.2,1,1,2010,210000,373,240000,0,0,0,0,0,115.77818285,118.26599121,0,114.43731689,133.30444336,117.04827881,118.11767578,119.69525146,124.49737549,113.00469971,116.52514648,124.51519775,128.03198242,123.77618408,111.05975342,110.84918213,123.44726563,115.79858398,118.58435059,112.21173096,116.21478271,125.28479004,114.89447021,114.11395264,121.30413818,117.71551514,112.02960205,118.90808105,121.13702393,113.43029785,117.55847168,111.70507813,109.67828369,118.54150391,116.58953857,117.99584961,117.41412354,118.30999756,114.84283447,109.63739014,113.41253662,116.17718506,122.68109131,124.4899292,118.28015137,121.10192871,120.59161377,112.38208008,112.35083008,125.75689697,118.71868896,117.82214355,111.2734375,113.44836426,126.6449585,121.8548584,110.93457031,112.88043213,119.1149292,117.86181641,118.99200439,6,SIH13E8999957,0,00
00,1,0,3,7,0,5000,0,5000,0,0,0,0,0,641.46050958,635.18261719,644.09033203,637.91845703,635.8828125,624.35791016,646.01513672,671.64013672,662.35058594,644.2734375,656.20800781,654.8515625,637.79296875,672.04980469,663.70361328,656.984375,640.53515625,650.02587891,657.02587891,679.53857422,629.96923828,645.21582031,655.36474609,668.32519531,656.02099609,650.56591797,645.48632813,669.81152344,0,646.22119141,632.30761719,671.34619141,651.31054688,654.98486328,656.55957031,643.59277344,645.36523438,664.19091797,633.49951172,655.12597656,635.35351563,647.77148438,672.90673828,648.84179688,679.03417969,655.97314453,634.32763672,687.03369141,630.44873047,694.03710938,670.87646484,655.23974609,640.34619141,650.44970703,658.05126953,656.93164063,657.28955078,624.72460938,655.93212891,644.50878906,631.81103516,6,SIH13E8999956,0,00
00,1,0,2,5,0,60000,0,68000,0,0,0,0,0,1179.0366361,1297.8691406,1296.1240234,1174.6220703,1246.6660156,1184.0097656,1205.8398438,1200.9296875,1171.0966797,1233.1181641,1173.3945313,1202.4833984,1220.109375,1185.9189453,1260.5527344,1234.4189453,1169.2978516,1166.7607422,1172.3017578,1225.1660156,1223.6142578,1196.5810547,1194.6552734,1142.1757813,1163.8369141,1154.0957031,1190.9794922,1221.3564453,1166.8994141,1199.9101563,1177.1865234,1163.0136719,1231.7695313,1212.4267578,1199.3427734,1231.1289063,1186.40625,1159.7773438,1128.6005859,1193.3623047,1178.9667969,1161.2802734,1197.8964844,1203.4472656,0,1138.109375,1163.9882813,1201.3046875,1226.203125,1186.3916016,1185.0341797,1169.9169922,1166.2207031,1178.8583984,1218.7587891,1208.3369141,1167.5800781,1281.6621094,1237.0078125,1244.9091797,1200.9990234,6,SIH13E8999954,0,00
